ID	chrom	loc.start	loc.end	seg	num.mark	nhet	cnlr.median	mafR	segclust	cnlr.median.clust	mafR.clust	cf	tcn	lcn	cf.em	tcn.em	lcn.em
Proj_5200_G_s_SCB_61T_s_SCB_61N	5	41731929	45696250	14	370	14	0.224145035556101	0.0143778025968834	30	0.25426054912147	NA	0.86914281828787	4	NA	0.86914281828787	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	5	49694961	52204872	15	125	5	-0.828825778309636	4.57258165254822	2	-0.828825778309636	NA	1	2	NA	0.845306992206687	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	5	52206050	153755996	16	13529	859	-0.730208986714405	7.15937144363132	5	-0.736867608526704	7.23269051371217	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	5	153759900	180687830	17	4214	335	-0.782364016191221	7.09317016543537	3	-0.778722319694408	7.09317016543537	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	6	203397	31947460	18	5806	500	0.444793415186498	0.24689458781321	34	0.427912810325449	0.233187770787078	0.622482316435763	6	2	0.80943755205382	5	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	6	31948311	55406540	19	6428	479	0.466182591063062	0.301832373169995	36	0.472017593430722	0.301832373169995	0.622482316435763	6	2	0.637407825520085	6	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	6	55406670	170892923	20	12832	883	0.419790892592315	0.224518298158244	34	0.427912810325449	0.233187770787078	0.622482316435763	6	2	0.80943755205382	5	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	7	193500	45103400	21	6255	482	0.33130562394724	0.0595026671202978	31	0.334492979330747	0.054067403754346	0.7120066788169	5	2	0.53786890943952	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	7	45103650	76178950	22	2583	187	0.267531092448171	0.0643509970473636	29	0.25426054912147	0.0526948515720072	0.622482316435763	5	2	0.483608619276305	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	7	76240814	99971100	23	3660	171	0.33533926142202	0.0252275442157785	31	0.334492979330747	0.054067403754346	0.7120066788169	5	2	0.53786890943952	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	7	99971313	101962000	24	1134	123	0.249480934216261	0.0614563139573678	29	0.25426054912147	0.0526948515720072	0.622482316435763	5	2	0.483608619276305	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	7	101962150	142477981	25	6202	340	0.331970069602983	0.0458785216678674	31	0.334492979330747	0.054067403754346	0.7120066788169	5	2	0.53786890943952	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	7	142478800	147182900	26	592	54	0.225128798866185	0.00682786271793957	29	0.25426054912147	0.0526948515720072	0.622482316435763	5	2	0.483608619276305	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	7	147183143	159026100	27	2355	159	0.338520831733808	0.0692250745693624	31	0.334492979330747	0.054067403754346	0.7120066788169	5	2	0.53786890943952	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	8	183050	113959958	28	12497	757	0.160389011084421	0.0176572417687141	27	0.160586066634423	0.0226893191456142	0.86914281828787	4	2	0.843470420246277	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	8	113960150	146279641	29	4454	342	0.479442740808153	0.171825805189126	37	0.472017593430722	0.162299412976894	0.86914281828787	5	2	0.86914281828787	5	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	9	214454	73736227	30	5260	381	0.113984486718143	0.0152137233927697	23	0.101130820191382	0.0188989945543946	0.791247911165033	4	2	0.771737810884621	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	9	73736458	105768002	31	4231	266	-0.735126412200934	7.85575704054297	5	-0.736867608526704	7.23269051371217	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	9	106857612	123870271	32	2789	237	0.122086829338106	0.00772263354888188	23	0.101130820191382	0.0188989945543946	0.791247911165033	4	2	0.771737810884621	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	9	123874803	124794150	33	237	8	-0.684196900064407	5.78627572764237	9	-0.653718989764988	NA	1	2	NA	0.843955190673181	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	9	124794225	141107527	34	6782	488	0.114096807095415	0.015159055877562	23	0.101130820191382	0.0188989945543946	0.791247911165033	4	2	0.771737810884621	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	93732	46963894	35	5055	383	0.141892159651751	1.00993766339385	28	0.160586066634423	0.978356548635105	0.86914281828787	4	1	0.854408834104923	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	46964865	47088000	36	40	18	0.10199628416021	-0.013409977749256	26	0.101130820191382	NA	0.86914281828787	4	NA	0.726417643503416	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	47595050	56367733	37	920	90	0.188508267388503	1.12249444180372	28	0.160586066634423	0.978356548635105	0.86914281828787	4	1	0.854408834104923	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	56423968	58121142	38	18	1	0.979890415904939	-0.0948499163438117	42	0.979890415904939	NA	0.86914281828787	7	NA	0.86914281828787	7	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	59064184	81371049	39	3567	212	0.474475753476282	0.146612280846742	37	0.472017593430722	0.162299412976894	0.86914281828787	5	2	0.86914281828787	5	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	81371139	82403836	40	216	5	0.932434487883185	0.416274622871777	41	0.910359782307137	NA	0.86914281828787	7	NA	0.86914281828787	7	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	82896563	97115350	41	2084	129	-0.242398473172933	8.79322053054331	16	-0.213867708751874	8.79322053054331	0.86914281828787	3	0	0.859462681810437	3	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	97115650	126370713	42	5993	343	-0.195234318708959	10.1795242208946	15	-0.213867708751874	10.1795242208946	0.86914281828787	3	0	0.86914281828787	3	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	10	126370869	135381904	43	1506	159	-0.264930380199655	9.84139828576752	11	-0.298766994795229	9.08226271723906	0.791247911165033	3	0	0.86744755587009	3	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	11	193112	34219000	44	7578	706	-0.140613589849203	0.434219204375432	18	-0.133339400667604	0.433144993416919	0.499000487444911	4	1	0.50739259817133	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	11	34226047	47593250	45	1746	106	0.173924786812048	0.969512830782968	28	0.160586066634423	0.978356548635105	0.86914281828787	4	1	0.854408834104923	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	11	47594369	63487975	46	3696	183	0.116087038566832	0.923135052834403	25	0.101130820191382	0.904590809882171	0.791247911165033	4	1	0.799007285776262	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	11	63488102	103127028	47	8677	421	0.176350600205791	0.877723693784605	28	0.160586066634423	0.978356548635105	0.86914281828787	4	1	0.854408834104923	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	11	103128400	110135750	48	865	29	0.0811255112919842	0.747030232868894	25	0.101130820191382	0.904590809882171	0.791247911165033	4	1	0.799007285776262	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	11	110143250	134257900	49	5227	406	0.172989286906104	0.948434087282221	28	0.160586066634423	0.978356548635105	0.86914281828787	4	1	0.854408834104923	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	12	208409	29936626	50	5902	401	-0.738712482102373	6.8978527105062	5	-0.736867608526704	7.23269051371217	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	12	30354422	49854600	51	2803	187	0.113621649669692	0.0251117481477239	23	0.101130820191382	0.0188989945543946	0.791247911165033	4	2	0.771737810884621	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	12	49854796	50831616	52	568	17	0.378136126519053	0.132444378797288	33	0.334492979330747	NA	0.86914281828787	5	NA	0.774001124675461	5	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	12	50834250	133810949	53	16499	1021	0.0923389796661823	0.0155168682497058	23	0.101130820191382	0.0188989945543946	0.791247911165033	4	2	0.771737810884621	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	13	19239360	27847700	54	1352	96	0.416052082221462	0.108500932800364	35	0.427912810325449	0.0787902162472221	0.791247911165033	5	2	0.614082784750348	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	13	27997859	72440942	55	4044	232	-0.650075905769548	7.3537578498043	8	-0.653718989764988	7.49286980033927	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	13	73284411	115091716	56	3700	260	0.427088217019074	0.0587924341031552	35	0.427912810325449	0.0787902162472221	0.791247911165033	5	2	0.614082784750348	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	14	19118237	20216298	57	14	4	0.270616565586847	-0.0240421797270959	30	0.25426054912147	NA	0.86914281828787	4	NA	0.86914281828787	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	14	20216427	23020638	58	1390	163	0.364075574206902	0.181001493235678	32	0.334492979330747	0.181001493235678	0.7120066788169	5	2	0.753480274743824	5	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	14	23020825	25443900	59	1670	126	0.452674155761854	0.0602259501303898	35	0.427912810325449	0.0787902162472221	0.791247911165033	5	2	0.614082784750348	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	14	25444122	105268050	60	11611	748	-0.309962197166865	8.92447708406855	11	-0.298766994795229	9.08226271723906	0.791247911165033	3	0	0.86744755587009	3	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	14	105268228	107283270	61	643	56	0.416625464032999	0.15504488642023	35	0.427912810325449	0.0787902162472221	0.791247911165033	5	2	0.614082784750348	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	15	20104811	22567264	62	91	27	-0.31932579352985	0.592789851009504	12	-0.298766994795229	0.533420681062003	0.86914281828787	3	1	0.714655607457331	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	15	22691462	41991204	63	3206	219	-0.653511917312064	7.62921070890866	8	-0.653718989764988	7.49286980033927	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	15	41991300	102389811	64	12932	764	-0.123156796124484	0.432043489035162	18	-0.133339400667604	0.433144993416919	0.499000487444911	4	1	0.50739259817133	4	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	97200	8740517	65	3940	394	-0.752323112905721	7.29114537061379	5	-0.736867608526704	7.23269051371217	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	8829500	10206426	66	169	19	1.67100830458989	2.76610730017358	44	1.67100830458989	NA	0.86914281828787	12	NA	0.86914281828787	12	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	10273800	17353388	67	1074	68	0.907093970703945	0.894954930293812	40	0.910359782307137	0.894954930293812	0.86914281828787	7	2	0.86914281828787	7	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	17451863	20638614	68	569	29	0.32081069889124	0.111164243691997	31	0.334492979330747	0.054067403754346	0.7120066788169	5	2	0.53786890943952	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	20638750	20750450	69	46	0	-0.30072680062983	0	13	-0.298766994795229	NA	0.86914281828787	3	NA	0.662618126467913	3	1
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	20752865	26147755	70	1371	59	0.297677338965293	0.0723957728104542	31	0.334492979330747	0.054067403754346	0.7120066788169	5	2	0.53786890943952	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	27078170	27629838	71	186	8	0.567855493414005	0.0814961839318594	38	0.567855493414005	NA	0.86914281828787	5	NA	0.728313747397914	6	3
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	27639966	29802336	72	545	11	-0.0834576396544478	0.236203385760023	21	-0.0684018638404473	NA	0.86914281828787	3	NA	0.561832362280392	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	29808241	46400081	73	1717	22	0.0681126378137753	0.0180168012680939	26	0.101130820191382	NA	0.86914281828787	4	NA	0.726417643503416	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	46508250	47733400	74	329	4	1.35212308405098	1.23238480606271	43	1.35212308405098	NA	0.86914281828787	9	NA	0.86914281828787	9	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	48093600	82197826	75	6528	357	-0.564119179850335	8.25173008696446	10	-0.564119179850335	8.25173008696446	0.622482316435763	3	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	16	82203705	90168697	76	2007	208	-0.163497380335026	10.2436876714483	19	-0.133339400667604	10.2436876714483	0.622482316435763	4	0	0.86914281828787	3	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	17	6069	17106450	77	6387	453	0.126269921581742	11.4310428930837	24	0.101130820191382	11.4310428930837	0.86914281828787	4	0	0.86914281828787	4	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	17	17108991	81083750	78	20028	1262	0.156837540070561	0.0214007734403661	27	0.160586066634423	0.0226893191456142	0.86914281828787	4	2	0.843470420246277	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	18	94100	21478702	79	2556	199	0.0681324867718418	0.0375774786016668	23	0.101130820191382	0.0188989945543946	0.791247911165033	4	2	0.771737810884621	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	18	21478890	78005189	80	4959	383	-0.726468800829183	7.10813174153822	5	-0.736867608526704	7.23269051371217	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	19	281430	2341674	81	1575	183	0.0344604831582189	0.0802836947364858	22	0.0344604831582189	0.0802836947364858	0.499000487444911	5	2	0.680290188481924	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	19	2341790	3382274	82	428	53	-0.0338039327439232	0.0655078591787968	20	-0.0684018638404473	0.057618949270215	0.391598389976722	5	2	0.57238253560127	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	19	3425136	3496783	83	40	6	-0.759503624254632	7.28747428900602	7	-0.736867608526704	NA	1	2	NA	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	19	3522984	59022353	84	25176	2061	-0.0688824629125757	0.0574107456392989	20	-0.0684018638404473	0.057618949270215	0.391598389976722	5	2	0.57238253560127	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	19	59022773	59084050	85	79	3	-0.0132541215377353	0.0117403483885045	21	-0.0684018638404473	NA	0.86914281828787	3	NA	0.561832362280392	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	20	68303	62905090	86	12102	903	0.166328597775771	0.02840010453358	27	0.160586066634423	0.0226893191456142	0.86914281828787	4	2	0.843470420246277	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	21	9826984	48084329	87	5109	419	0.12966832393268	0.0193356213695436	23	0.101130820191382	0.0188989945543946	0.791247911165033	4	2	0.771737810884621	4	2
Proj_5200_G_s_SCB_61T_s_SCB_61N	22	17053077	51218975	88	10266	809	-0.747489053332818	7.31457248207843	5	-0.736867608526704	7.23269051371217	0.86914281828787	2	0	0.86914281828787	2	0
Proj_5200_G_s_SCB_61T_s_SCB_61N	23	2700139	154774866	89	13595	7	-0.777280218290021	0.237664144015332	4	-0.778722319694408	NA	1	2	NA	NA	2	1
